,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Saa3,0.9702,0.02980000000000005,3.4829935170364954,1.6495203e-05,2.3869136e-06,0.0,0.25,2.8306832,2.8607378,1.7181942,-4.2603283,8.60948,0.14642857,0.012797075,0.057142857142857155,0.01279707495429616,0.3339484,0.029195655,True,WT vs Fezf2_KO,WT,Fezf2_KO
Flt1,0.9456,0.054400000000000004,2.8554553195417203,4.2529242e-05,1.4440134e-05,0.0,0.25,2.0793064,2.1269631,2.9480674,-8.023462,11.642621,0.13035716,0.010968922,0.06607142857142857,0.009140767824497258,0.29343796,0.023024704,True,WT vs Fezf2_KO,WT,Fezf2_KO
Col22a1,0.9486,0.0514,2.9153488569717028,1.89689e-05,4.535679e-06,0.0,0.25,1.9778613,1.977397,1.7967502,-4.413513,8.694166,0.09642861,0.016453382,0.06964285714285713,0.01462522851919561,0.18371426,0.0363938,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm3468,0.969,0.031000000000000028,3.4422770951449433,1.2003768e-05,3.4432162e-06,0.0,0.25,1.8864285,1.865911,0.9612203,-1.7965107,5.302706,0.0625,0.005484461,0.051785714285714296,0.005484460694698354,0.12804452,0.008786002,True,WT vs Fezf2_KO,WT,Fezf2_KO
Krtdap,0.9356,0.06440000000000001,2.676074257008553,8.497493e-05,2.6614684e-05,0.0,0.25,1.8820039,1.9072704,1.8911338,-4.667509,7.946554,0.4107144,0.17550273,0.20714285714285666,0.08226691042047528,0.7118213,0.30635962,False,WT vs Fezf2_KO,WT,Fezf2_KO
Csgalnact1,0.9484,0.05159999999999998,2.911254498449377,4.6418652e-05,1.2670091e-05,0.0,0.25,1.8553076,1.8503008,1.3286049,-4.2566347,6.395978,0.12857147,0.025594147,0.07499999999999997,0.02193784277879342,0.2518571,0.054069746,True,WT vs Fezf2_KO,WT,Fezf2_KO
Efna2,0.9262,0.07379999999999998,2.529731337735684,5.1477284e-05,1.861746e-05,0.0,0.25,1.7286093,1.7327604,1.9624536,-4.8383913,7.527651,0.1071429,0.053016447,0.07499999999999997,0.03839122486288849,0.24313527,0.105996214,False,WT vs Fezf2_KO,WT,Fezf2_KO
Lmo2,0.925,0.07499999999999996,2.5123055014536018,1.6326612e-05,5.121843e-06,0.0,0.25,1.6380129,1.657855,1.7913773,-4.6627674,8.094171,0.0732143,0.014625229,0.06071428571428573,0.01462522851919561,0.14009961,0.026430542,False,WT vs Fezf2_KO,WT,Fezf2_KO
Bbox1,0.933,0.06699999999999995,2.633712442920772,1.9866879e-05,6.9153843e-06,0.0,0.25,1.6283805,1.6715541,2.090963,-7.3240976,8.135561,0.1071429,0.020109687,0.07142857142857141,0.01462522851919561,0.2037524,0.04333527,False,WT vs Fezf2_KO,WT,Fezf2_KO
Atoh8,0.949,0.051000000000000045,2.9235829803445967,1.5982045e-05,5.5426576e-06,0.0,0.25,1.6182426,1.6105528,1.0694017,-2.766632,5.957217,0.07857145,0.027422298,0.06964285714285713,0.02742230347349178,0.14300647,0.06348788,True,WT vs Fezf2_KO,WT,Fezf2_KO
Oas2,0.9302,0.06979999999999997,2.5897654745055814,8.49201e-05,2.8218812e-05,0.0,0.25,1.6064416,1.6233277,2.2123446,-6.3860865,10.359935,0.16250008,0.082266904,0.11071428571428556,0.06032906764168192,0.41147682,0.17599827,False,WT vs Fezf2_KO,WT,Fezf2_KO
Limch1,0.9426,0.05740000000000001,2.798597547557051,0.00024344662,8.427277e-05,0.0,0.25,1.6016319,1.5961022,1.0341821,-1.6600275,5.378051,1.2089285,0.3802561,0.5107142857142842,0.2212065813528339,2.5344234,0.7017836,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm30003,0.9242,0.07579999999999998,2.5008300846818967,1.1063075e-05,3.6677147e-06,0.0,0.25,1.5532423,1.5821352,1.8361179,-5.2798386,7.996091,0.069642864,0.034734912,0.051785714285714296,0.032906764168190134,0.12687328,0.083812125,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gpr139,0.9298,0.07020000000000004,2.583621066529587,4.4083445e-05,1.6329952e-05,0.0,0.25,1.548171,1.5462208,1.8500216,-5.0644197,8.256987,0.14821433,0.06398537,0.08571428571428565,0.04936014625228521,0.3255719,0.110268675,False,WT vs Fezf2_KO,WT,Fezf2_KO
Sh2b2,0.9192,0.08079999999999998,2.431526648124153,2.48731e-05,9.652034e-06,0.0,0.25,1.4296074,1.457438,1.6289876,-4.391672,8.5100975,0.10714292,0.042047523,0.09285714285714276,0.03839122486288849,0.22939393,0.082340054,False,WT vs Fezf2_KO,WT,Fezf2_KO
Dkk3,0.9214,0.0786,2.4615224366932504,2.4653396e-05,9.11268e-06,0.0,0.25,1.4110324,1.4932547,1.7302405,-5.787221,6.838255,0.098214336,0.053016443,0.07857142857142853,0.0457038391224863,0.20668735,0.10154589,False,WT vs Fezf2_KO,WT,Fezf2_KO
Tbc1d2,0.9142,0.08579999999999999,2.366030253792143,2.6726251e-05,9.992232e-06,0.0,0.25,1.4090232,1.4034882,1.0230215,-1.7133837,4.5474367,0.06607143,0.032906756,0.05535714285714287,0.032906764168190134,0.12517448,0.058421087,False,WT vs Fezf2_KO,WT,Fezf2_KO
