,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Apoc2,0.9828,0.017199999999999993,4.045495685607447,3.6533616e-05,5.1968957e-05,0.0,0.25,-4.0213523,-4.2761765,5.2532434,-19.419952,10.654436,0.94198674,0.84169096,0.044195921296573536,0.05225352112676085,0.5136665,0.4071075,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm15943,0.972,0.028000000000000025,3.5471509474305067,1.6991065e-05,9.517968e-05,0.0,0.25,-4.2755523,-4.609991,3.177669,-12.991602,6.4342165,0.23796214,1.5806787,0.07672986065426633,0.32535211267606085,0.14246504,0.9751525,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm47782,0.9696,0.030399999999999983,3.4624406882690915,1.8903227e-05,5.3859865e-05,0.0,0.25,-3.7647138,-4.358052,3.3192115,-11.955016,5.5831966,0.15722695,0.6191574,0.0595658154416608,0.20943661971830424,0.09817862,0.3432227,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm47507,0.9694,0.03059999999999996,3.4556769979712687,1.0148919e-05,4.3623524e-05,0.0,0.25,-3.1993227,-3.4610791,2.404117,-10.579683,6.3524284,0.056814943,0.2757754,0.025297530052030445,0.0964788732394356,0.049540866,0.22865155,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm48742,0.969,0.031000000000000028,3.4422770951449433,7.4076415e-06,3.485649e-05,0.0,0.25,-3.4413586,-3.5944138,3.0305007,-10.97092,6.6239405,0.06034361,0.2933815,0.03988995873452574,0.1825352112676011,0.05505565,0.2939954,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm13305,0.9678,0.032200000000000006,3.4030587015826104,0.00040474624,1.3014173e-05,0.0,0.25,3.094616,4.0048957,3.766981,-9.040545,13.067443,6.9712563,0.1294371,0.5552897553974557,0.10197183098591425,3.9887795,0.07448853,True,WT vs Fezf2_KO,WT,Fezf2_KO
Csmd1,0.967,0.03300000000000003,3.377690641297818,0.00023454995,0.00089308404,0.0,0.25,-3.1657019,-3.4851167,2.6900673,-10.07576,5.4500885,2.7784338,12.1027155,0.2776747802165088,0.7301408450704903,2.1045842,9.607504,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm15726,0.9664,0.03359999999999996,3.359051472940072,1.0672248e-05,3.463306e-05,0.0,0.25,-2.9184864,-3.1417937,3.0465453,-10.797777,8.074125,0.11428811,0.21788812,0.060881526224508736,0.12140845070422332,0.07228974,0.19781046,True,WT vs Fezf2_KO,WT,Fezf2_KO
Il25,0.9662,0.03380000000000005,3.3529097641232113,2.0518488e-05,2.9136008e-06,0.0,0.25,2.8629332,2.8159447,2.3705873,-6.70922,10.763482,0.15333997,0.021126764,0.05209018599366116,0.008732394366197186,0.10713553,0.014957836,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lrmda,0.9654,0.034599999999999964,3.3286885625038165,5.648473e-05,8.828715e-05,0.0,0.25,-2.4492993,-2.950014,2.765346,-10.008269,4.8377295,0.73612744,1.0657736,0.1701453262364695,0.2807042253521102,0.4786794,0.59172493,True,WT vs Fezf2_KO,WT,Fezf2_KO
Aldob,0.965,0.03500000000000003,3.316779764498021,5.2852036e-05,1.4478859e-05,0.0,0.25,2.4541683,2.687458,3.7284122,-9.820832,12.942757,0.67507714,0.112676114,0.06787871538783578,0.014929577464788712,0.37607476,0.058452956,True,WT vs Fezf2_KO,WT,Fezf2_KO
Pck1,0.9648,0.03520000000000001,3.310874469642843,3.353286e-05,4.0768673e-06,0.0,0.25,2.9575918,3.0169835,2.832707,-8.467438,12.385395,0.39854074,0.01830986,0.07367980383948283,0.006056338028169017,0.2268392,0.009902914,True,WT vs Fezf2_KO,WT,Fezf2_KO
Map1a,0.9646,0.03539999999999999,3.305001415376299,3.6109417e-05,5.423605e-06,0.0,0.25,2.930825,3.053893,2.8308053,-7.194415,10.830966,0.32402223,0.04239442,0.14484779618443577,0.0284507042253522,0.20423706,0.02038544,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm13052,0.9644,0.035599999999999965,3.2991602379193363,1.467971e-05,6.4636144e-05,0.0,0.25,-4.107856,-4.427481,3.3667884,-12.092667,7.1006794,0.12032851,0.57310116,0.0683571556725077,0.30718309859155096,0.108696096,0.51606405,True,WT vs Fezf2_KO,WT,Fezf2_KO
Rbfox1,0.9642,0.035800000000000054,3.293350579606588,0.0002394516,0.0007233222,0.0,0.25,-2.615169,-2.8648915,2.6705956,-9.251536,6.3322616,2.9647698,8.433684,0.3651097422403228,0.6619718309859726,2.2825134,7.634831,True,WT vs Fezf2_KO,WT,Fezf2_KO
Penk,0.9636,0.03639999999999999,3.276107231750535,4.181471e-05,8.299149e-06,0.0,0.25,2.844758,2.9811034,2.6662219,-6.6549635,10.188163,0.30608198,0.03746481,0.051312720531069195,0.014507042253521108,0.17581317,0.020180624,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gpc5,0.9632,0.036800000000000055,3.264762968022636,2.6674772e-05,8.454769e-05,0.0,0.25,-2.7800903,-2.9557304,2.964681,-12.573626,8.086311,0.2546484,0.93380594,0.06405119311046041,0.23197183098590896,0.19218364,0.7057031,True,WT vs Fezf2_KO,WT,Fezf2_KO
Calb1,0.9632,0.036800000000000055,3.264762968022636,2.7061353e-05,5.867755e-06,0.0,0.25,2.850849,2.9201174,3.557879,-8.907259,10.619834,0.44752136,0.028591555,0.11279229711141242,0.013239436619718296,0.2558484,0.01415744,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sis,0.963,0.03700000000000003,3.2591352392678825,4.3285665e-05,6.588616e-06,0.0,0.25,2.9022577,3.0128183,3.8971443,-11.910236,15.055795,0.4294599,0.04281691,0.05980503558399679,0.014366197183098573,0.24187231,0.024186939,True,WT vs Fezf2_KO,WT,Fezf2_KO
Krt84,0.9628,0.03720000000000001,3.2535366861990203,1.7005368e-05,3.2436537e-06,0.0,0.25,3.3063755,3.3233528,3.9347174,-9.121896,14.582227,0.2517779,0.029295795,0.060881526224508736,0.013098591549295761,0.14433837,0.014597943,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lrrc15,0.9612,0.038799999999999946,3.209762009904824,2.2236842e-05,1.33550775e-05,0.0,0.25,1.846311,1.9461794,4.401013,-13.785925,14.005149,0.19077775,0.17070454,0.05502063273727702,0.05112676056338056,0.1070158,0.09244408,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cacna2d2,0.9612,0.038799999999999946,3.209762009904824,5.311322e-05,1.4592844e-05,0.0,0.25,2.6320198,2.840077,3.0625353,-8.215983,11.407925,0.3443564,0.09028181,0.12666706536689853,0.03408450704225365,0.2159419,0.044048484,True,WT vs Fezf2_KO,WT,Fezf2_KO
Dcc,0.9608,0.03920000000000001,3.199089279275342,1.9541058e-05,9.298651e-05,0.0,0.25,-2.8950763,-2.9479337,3.2961893,-13.12026,8.101569,0.1202682,1.0726768,0.029244662400574255,0.15154929577464463,0.09272652,0.9679201,True,WT vs Fezf2_KO,WT,Fezf2_KO
Csta1,0.9604,0.03959999999999997,3.1885205039737716,3.8163227e-05,4.8872345e-05,0.0,0.25,1.0450356,1.2447085,3.7664046,-11.944775,10.34962,0.19352843,0.643945,0.03576341127922994,0.08887323943661901,0.11338397,0.3569616,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm14275,0.96,0.040000000000000036,3.1780535907646423,0.00010534929,2.122574e-05,0.0,0.25,2.500571,2.5760813,2.8700879,-7.1329317,10.296628,1.8491756,0.2754936,0.3261168590395521,0.08352112676056289,1.0347028,0.1281929,True,WT vs Fezf2_KO,WT,Fezf2_KO
AC160336.1,0.9596,0.04039999999999999,3.167686508894722,4.696544e-05,3.2854684e-06,0.0,0.25,3.1056757,3.3762116,2.1406596,-4.158201,8.497576,0.7937741,0.05408466,0.3466299862448655,0.04746478873239461,0.4879804,0.033676766,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm20275,0.9594,0.04059999999999997,3.16253978657807,3.7337493e-05,0.000115834104,0.0,0.25,-2.713846,-2.9409575,2.4852085,-9.93075,5.367362,0.4752728,1.3737754,0.17666407511512594,0.430281690140866,0.36265057,1.1111459,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm21541,0.9594,0.04059999999999997,3.16253978657807,0.00012659412,1.7180335e-05,0.0,0.25,1.8946255,2.043325,3.951322,-11.309456,14.909282,1.4166003,0.1657753,0.2024998504874157,0.12070422535211067,1.0874684,0.16591398,True,WT vs Fezf2_KO,WT,Fezf2_KO
Smtnl1,0.9592,0.04079999999999995,3.157417287630535,0.00012063148,2.1822689e-05,0.0,0.25,2.5289826,2.5357819,3.1510758,-7.1543007,12.822834,1.6245431,0.14169037,0.24926738831410689,0.04211267605633823,0.9928527,0.07139791,True,WT vs Fezf2_KO,WT,Fezf2_KO
Krt9,0.959,0.041000000000000036,3.152318774704249,4.070915e-05,1.2027958e-05,0.0,0.25,2.535467,2.6336946,3.5706615,-8.614124,13.324085,0.48759046,0.052394386,0.09640571736139911,0.01154929577464788,0.2799706,0.026894677,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fmo3,0.9588,0.041200000000000014,3.1472440139160347,6.577717e-05,1.6591262e-05,0.0,0.25,2.5816624,2.5260205,3.5707767,-8.430032,12.693296,0.64930195,0.1319719,0.06997189163327544,0.018732394366197187,0.41539225,0.067801364,True,WT vs Fezf2_KO,WT,Fezf2_KO
1500015L24Rik,0.9582,0.04179999999999995,3.132159956120126,1.442297e-05,7.340725e-05,0.0,0.25,-3.5237727,-3.8097067,2.5182536,-10.123623,3.4516745,0.098678835,0.92718685,0.0470665630046054,0.2932394366197178,0.071020804,0.6002191,True,WT vs Fezf2_KO,WT,Fezf2_KO
Esrrg,0.9582,0.04179999999999995,3.132159956120126,0.0001237849,0.00013643588,0.0,0.25,-1.7425565,-2.0862865,2.8188443,-9.097147,8.464277,2.0996974,2.2169976,0.3084743735422709,0.41859154929579373,1.3555714,1.2922759,True,WT vs Fezf2_KO,WT,Fezf2_KO
Wwtr1,0.9578,0.042200000000000015,3.122218540340339,3.902345e-05,0.00014161308,0.0,0.25,-2.3646307,-2.5142221,1.6527557,-7.3309574,3.757266,0.35667947,1.8148636,0.18665151605765462,0.6388732394366732,0.2709229,1.2963336,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gsta1,0.9578,0.042200000000000015,3.122218540340339,7.992498e-05,2.0873596e-05,0.0,0.25,2.2670703,2.298451,3.3444738,-8.273769,12.201314,0.9271514,0.15267628,0.12152383230667499,0.049718309859155194,0.49090284,0.07466889,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cyp2a5,0.9576,0.04239999999999999,3.1172815665995963,0.00030456355,0.00021363747,0.0,0.25,1.0079042,1.1441255,3.820194,-10.659205,10.650051,5.473028,4.543079,0.34142694814905716,0.23535211267604966,3.2954452,2.2861838,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ror1,0.9572,0.04279999999999995,3.1074740302487736,4.1757707e-05,0.0001279662,0.0,0.25,-2.4397545,-2.760579,2.1153946,-8.10448,4.617673,0.3810203,1.6488353,0.14753902278571596,0.4381690140845292,0.24417503,1.0085857,True,WT vs Fezf2_KO,WT,Fezf2_KO
Slurp2,0.9572,0.04279999999999995,3.1074740302487736,1.8233997e-05,1.3199638e-05,0.0,0.25,1.7891008,1.641748,4.3979964,-11.80383,12.416482,0.18802615,0.073098645,0.0615991866515167,0.018450704225352114,0.10729502,0.03358487,True,WT vs Fezf2_KO,WT,Fezf2_KO
Klhl29,0.9572,0.04279999999999995,3.1074740302487736,7.3446805e-05,0.00019681941,0.0,0.25,-2.3534262,-2.6270118,2.1618726,-8.261965,6.199237,0.74000466,2.089653,0.2540517911608272,0.6109859154930068,0.5714757,1.6617329,True,WT vs Fezf2_KO,WT,Fezf2_KO
Nefh,0.957,0.04300000000000004,3.1026030536505993,3.2353233e-05,8.625894e-06,0.0,0.25,3.2176273,3.4550877,4.0537415,-9.908572,12.20913,0.37958202,0.09887329,0.06542670892889219,0.01774647887323943,0.20821786,0.04466136,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fhit,0.957,0.04300000000000004,3.1026030536505993,6.2276275e-05,0.00012957433,0.0,0.25,-2.0009692,-2.4165373,2.1362414,-7.869375,4.852768,0.89352137,1.9354402,0.25608516237068335,0.4711267605634076,0.5582928,1.2165501,True,WT vs Fezf2_KO,WT,Fezf2_KO
Nlrp6,0.9568,0.043200000000000016,3.0977536669163523,2.7820823e-05,5.670868e-06,0.0,0.25,2.4665296,2.5786915,2.764529,-7.3593426,10.346257,0.16553979,0.030704238,0.05490102266610902,0.011690140845070415,0.10265885,0.014796686,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lifr,0.956,0.04400000000000004,3.078568062320689,0.00016199624,0.00059166405,0.0,0.25,-2.4941604,-2.990707,3.051003,-9.175161,7.798004,1.7484797,6.8429766,0.33401112373664066,0.6714084507042839,1.4239526,5.3944116,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hmx3,0.956,0.04400000000000004,3.078568062320689,3.2382508e-05,7.369022e-06,0.0,0.25,2.3675535,2.5162635,2.3109796,-6.792591,9.708712,0.22151576,0.016901406,0.10394115184498187,0.009577464788732394,0.13720256,0.008993679,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ang4,0.956,0.04400000000000004,3.078568062320689,7.13804e-05,4.2412506e-05,0.0,0.25,1.8401421,1.9292717,4.053295,-11.090023,11.495849,1.2802441,0.8314096,0.10274505113330207,0.07295774647887318,0.72325,0.4494089,True,WT vs Fezf2_KO,WT,Fezf2_KO
Chrna10,0.9558,0.04420000000000002,3.0738236812785265,2.4871904e-05,4.7902e-06,0.0,0.25,2.5485868,2.638473,2.525483,-8.211871,10.318664,0.17654341,0.029014107,0.08211231385682545,0.020704225352112696,0.10947489,0.015922505,True,WT vs Fezf2_KO,WT,Fezf2_KO
Slc5a1,0.9558,0.04420000000000002,3.0738236812785265,3.399132e-05,8.898987e-06,0.0,0.25,2.5467784,2.6624002,3.0902326,-8.3285885,11.318597,0.20495085,0.07028179,0.06393158303929243,0.03169014084507053,0.11743636,0.036608186,True,WT vs Fezf2_KO,WT,Fezf2_KO
Defb19,0.9558,0.04420000000000002,3.0738236812785265,2.4910369e-05,1.4007871e-05,0.0,0.25,1.2699633,1.4288149,3.466784,-8.857288,10.530162,0.66520953,0.24704233,0.05627653848454096,0.020000000000000014,0.3689837,0.114385754,True,WT vs Fezf2_KO,WT,Fezf2_KO
Prss29,0.9558,0.04420000000000002,3.0738236812785265,2.7054817e-05,1.4638105e-05,0.0,0.25,1.5234547,1.5003142,4.128804,-10.8762,12.296903,0.6807,0.43408474,0.05292745649183712,0.029014084507042345,0.37393594,0.20351224,True,WT vs Fezf2_KO,WT,Fezf2_KO
5730522E02Rik,0.9556,0.044399999999999995,3.0690997312529054,1.42287e-05,3.647461e-05,0.0,0.25,-2.6384683,-3.0230799,2.498186,-9.181091,5.1223354,0.11207515,0.31155035,0.048980324143293306,0.14098591549295492,0.07686616,0.24152118,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cilp,0.9554,0.04459999999999997,3.0643960281814424,2.4637615e-05,9.15672e-06,0.0,0.25,1.6467322,1.8049946,3.017245,-7.71132,9.401524,0.38813445,0.11478879,0.07804557143711412,0.01816901408450704,0.23191813,0.05766943,True,WT vs Fezf2_KO,WT,Fezf2_KO
Mmp7,0.9554,0.04459999999999997,3.0643960281814424,6.267315e-05,3.8968374e-05,0.0,0.25,1.7302855,1.8515658,3.9097617,-11.233557,12.103925,0.8727895,0.5322544,0.1068117935530134,0.07704225352112654,0.5337651,0.3265373,True,WT vs Fezf2_KO,WT,Fezf2_KO
Nlgn1,0.9552,0.04479999999999995,3.0597123904721504,0.00013940234,0.00032766483,0.0,0.25,-2.4825692,-2.912269,2.4950495,-8.766211,6.477289,1.5658367,3.539232,0.2718138867292764,0.5660563380282111,1.1563419,2.7264965,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hmx2,0.9552,0.04479999999999995,3.0597123904721504,2.287095e-05,7.436494e-06,0.0,0.25,2.2431319,2.3565445,2.950177,-8.435565,10.61317,0.12391683,0.012816898,0.06219723700735667,0.006619718309859159,0.08323811,0.007036499,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lingo2,0.955,0.04500000000000004,3.0550486389594163,8.852597e-05,0.00021199853,0.0,0.25,-2.195044,-2.3419728,2.778073,-10.276224,6.862273,0.7907302,1.858978,0.15148615513426023,0.38070422535212584,0.6061295,1.6541108,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm26887,0.955,0.04500000000000004,3.0550486389594163,1.5040129e-05,5.7711477e-05,0.0,0.25,-3.0409663,-3.4566813,2.1844993,-8.1620865,4.3365545,0.16494045,0.55507284,0.10244602595538212,0.2981690140845073,0.12500063,0.4417794,True,WT vs Fezf2_KO,WT,Fezf2_KO
Igfbp6,0.955,0.04500000000000004,3.0550486389594163,7.2611285e-05,3.0816875e-05,0.0,0.25,1.8076023,1.8274703,3.5039,-7.5052395,10.44385,1.1770169,0.31619743,0.12732492075832258,0.04281690140845091,0.6690487,0.15307488,True,WT vs Fezf2_KO,WT,Fezf2_KO
Chsy3,0.9548,0.04520000000000002,3.0504045968609734,1.6796572e-05,3.638379e-05,0.0,0.25,-3.1720624,-3.7814922,2.9572988,-10.382921,6.468299,0.16506109,0.33281803,0.06297470246994859,0.13929577464788456,0.10881484,0.23233259,True,WT vs Fezf2_KO,WT,Fezf2_KO
Shroom4,0.9546,0.045399999999999996,3.0457800897357927,1.2744838e-05,5.662292e-05,0.0,0.25,-2.5180354,-2.6786366,2.179477,-8.937339,5.798339,0.089827664,0.58662206,0.05203038095807716,0.25084507042252807,0.0740597,0.46154097,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cnfn,0.9546,0.045399999999999996,3.0457800897357927,8.634324e-05,7.695413e-05,0.0,0.25,1.5047923,1.6934447,3.5343504,-10.901655,12.183086,0.7594006,1.2422525,0.0775671311524422,0.09014084507042178,0.42738447,0.63850504,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ins2,0.9544,0.045599999999999974,3.041174945442932,2.785477e-05,1.1328265e-05,0.0,0.25,2.566234,2.5945148,3.7609212,-9.111826,11.10147,0.6749577,0.25394374,0.05250882124274914,0.02140845070422538,0.36156458,0.11613555,True,WT vs Fezf2_KO,WT,Fezf2_KO
S100a8,0.9542,0.04579999999999995,3.036588994101264,0.0002611095,0.0001359,0.0,0.25,1.8195139,1.9474931,3.701322,-8.475352,10.6115885,8.622091,4.7387156,0.31182345553497515,0.1609859154929541,4.83246,2.170005,True,WT vs Fezf2_KO,WT,Fezf2_KO
Myh15,0.9542,0.04579999999999995,3.036588994101264,2.3609347e-05,5.4884326e-06,0.0,0.25,2.3362086,2.4477253,2.6732247,-6.5713654,10.786359,0.23927781,0.026056347,0.08653788649004072,0.010704225352112672,0.15037237,0.016447408,True,WT vs Fezf2_KO,WT,Fezf2_KO
Nup210l,0.9542,0.04579999999999995,3.036588994101264,1.8046852e-05,3.545831e-05,0.0,0.25,-2.0309033,-2.423243,2.334007,-9.445922,5.473665,0.20518798,0.36915654,0.11195502661323656,0.22661971830985284,0.13958408,0.2742271,True,WT vs Fezf2_KO,WT,Fezf2_KO
Zfp804b,0.9542,0.04579999999999995,3.036588994101264,3.0225572e-05,4.6519897e-05,0.0,0.25,-2.1748576,-2.5938878,2.8704255,-8.964329,8.9228735,0.33060205,0.4321138,0.05765205430297289,0.0964788732394356,0.22551559,0.2663604,True,WT vs Fezf2_KO,WT,Fezf2_KO
1700029F12Rik,0.954,0.04600000000000004,3.03202206805009,1.832151e-05,8.304012e-06,0.0,0.25,1.720025,1.7892537,3.668489,-9.498703,11.900786,0.24519949,0.09563382,0.05555887805753299,0.017887323943661968,0.15458356,0.045313705,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sprr1b,0.954,0.04600000000000004,3.03202206805009,2.6915488e-05,2.1272212e-05,0.0,0.25,1.2130404,1.2892032,3.821161,-12.3085985,12.555911,0.3780272,0.31225377,0.05394414209676507,0.03535211267605648,0.21219087,0.16156234,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fabp9,0.954,0.04600000000000004,3.03202206805009,0.0001343975,1.8846982e-05,0.0,0.25,2.39537,2.3245463,3.4042406,-7.2242584,11.621486,2.687075,0.1798593,0.17666407511512594,0.027887323943662053,1.5524791,0.08532455,True,WT vs Fezf2_KO,WT,Fezf2_KO
Apoa1,0.9538,0.04620000000000002,3.0274740018106154,7.290792e-05,2.4083141e-05,0.0,0.25,2.1137438,2.1080275,3.633831,-9.198967,11.250693,1.6007446,0.40507063,0.09186053465701585,0.026338028169014153,0.85861737,0.19365105,True,WT vs Fezf2_KO,WT,Fezf2_KO
